,Refnis,Municipality FR,Municipality NL,Population,Size in km²,Population / km²
0,1000,Belgique,België,11431406,30689.368862,372.4874907464951
1,2000,Région flamande,Vlaams Gewest,6589069,13625.54893,483.58191173439934
2,3000,Région wallonne,Waals Gewest,3633795,16901.400088,214.9996438803905
3,4000,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,1208542,162.419844,7440.8518702924
4,10000,Province d’Anvers,Provincie Antwerpen,1857986,2876.120363,646.0042576458752
5,11000,Arrondissement d’Anvers,Arrondissement Antwerpen,1051301,1004.125291,1046.9818950113468
6,11001,Aartselaar,Aartselaar,14293,11.015556,1297.5286948747753
7,11002,Anvers,Antwerpen,525935,204.293229,2574.412292440686
8,11004,Boechout,Boechout,13266,20.710028,640.5592498474651
9,11005,Boom,Boom,18244,7.387152,2469.693327008839
10,11007,Borsbeek,Borsbeek,10854,3.901269,2782.1716472255566
11,11008,Brasschaat,Brasschaat,37946,38.580646,983.5501458425554
12,11009,Brecht,Brecht,29268,91.4511,320.0398901708126
13,11013,Edegem,Edegem,22063,8.717948,2530.7560907681486
14,11016,Essen,Essen,19038,47.568895,400.2195131923918
15,11018,Hemiksem,Hemiksem,11559,5.479228,2109.603761697816
16,11021,Hove (Anvers),Hove (Antwerpen),8125,6.018087,1350.096799863478
17,11022,Kalmthout,Kalmthout,18695,59.409054,314.68267446238076
18,11023,Kapellen (Anvers),Kapellen (Antwerpen),26850,37.22078,721.3712340257243
19,11024,Kontich,Kontich,21115,23.801502,887.1288879164013
20,11025,Lint,Lint,8718,5.651541,1542.5881188865126
21,11029,Mortsel,Mortsel,26099,7.784336,3352.758668176708
22,11030,Niel,Niel,10501,5.320952,1973.5190244151797
23,11035,Ranst,Ranst,19008,43.675152,435.2131390407067
24,11037,Rumst,Rumst,15090,20.13422,749.4703047845907
25,11038,Schelle,Schelle,8518,7.77441,1095.6458432215436
26,11039,Schilde,Schilde,19652,36.095679,544.4418984333278
27,11040,Schoten,Schoten,34517,29.493576,1170.3226492440251
28,11044,Stabroek,Stabroek,18710,21.445018,872.4637116182415
29,11050,Wijnegem,Wijnegem,9816,7.89088,1243.9677196966625
30,11052,Wommelgem,Wommelgem,12865,12.990646,990.3279636747857
31,11053,Wuustwezel,Wuustwezel,20970,89.407739,234.54345490159412
32,11054,Zandhoven,Zandhoven,13025,40.082081,324.9581776954146
33,11055,Zoersel,Zoersel,21944,38.686897,567.2204726060091
34,11056,Zwijndrecht,Zwijndrecht,19056,20.241464,941.4338804742581
35,11057,Malle,Malle,15561,51.896226,299.8483935999508
36,12000,Arrondissement de Malines,Arrondissement Mechelen,344818,511.925433,673.5707542000555
37,12002,Berlaar,Berlaar,11527,24.514249,470.2163219440253
38,12005,Bonheiden,Bonheiden,15010,29.19961,514.0479615994872
39,12007,Bornem,Bornem,21366,46.2562,461.90564724296416
40,12009,Duffel,Duffel,17491,22.60482,773.773027168542
41,12014,Heist-op-den-Berg,Heist-op-den-Berg,42681,86.677886,492.40933264108446
42,12021,Lierre,Lier,36242,49.852454,726.9852753888505
